frame_path,generated_caption,label
video_frames/0/frame_000.jpg,김수현이 수트와 타이를 매고 김지원을 바라보는 장면,10CM - 고장난걸까
video_frames/0/frame_001.jpg,김수현이 수트와 타이를 매고 김지원을 바라보는 장면,10CM - 고장난걸까
video_frames/0/frame_002.jpg,김수현이 수트와 타이를 매고 김지원을 바라보는 장면,10CM - 고장난걸까
video_frames/0/frame_003.jpg,김수현이 수트와 타이를 매고 김지원을 바라보는 장면,10CM - 고장난걸까
video_frames/0/frame_004.jpg,김수현이 수트와 타이를 매고 김지원을 바라보는 장면,10CM - 고장난걸까
video_frames/0/frame_005.jpg,김지원 이 검은 머리를 찰랑거리며 김수현을 바라보며 얘기하는 장면,10CM - 고장난걸까
video_frames/0/frame_006.jpg,김지원 이 검은 머리를 찰랑거리며 김수현을 바라보며 얘기하는 장면,10CM - 고장난걸까
video_frames/0/frame_007.jpg,김지원 이 검은 머리를 찰랑거리며 김수현을 바라보며 얘기하는 장면,10CM - 고장난걸까
video_frames/0/frame_008.jpg,김지원 이 검은 머리를 찰랑거리며 김수현을 바라보며 얘기하는 장면,10CM - 고장난걸까
video_frames/0/frame_009.jpg,김지원 이 검은 머리를 찰랑거리며 김수현을 바라보며 얘기하는 장면,10CM - 고장난걸까
video_frames/0/frame_010.jpg,김수현 이 수트와 타이를 매고 김지원을 바라보는 장면,10CM - 고장난걸까
video_frames/0/frame_011.jpg,김수현 이 수트와 타이를 매고 김지원을 바라보는 장면,10CM - 고장난걸까
video_frames/0/frame_012.jpg,김수현 이 수트와 타이를 매고 김지원을 바라보는 장면,10CM - 고장난걸까
video_frames/0/frame_013.jpg,김수현이 수트와 타이를 매고 김지원을 바라보는 장면,10CM - 고장난걸까
video_frames/0/frame_014.jpg,김지원 이 검은 머리를 찰랑거리며 김수현을 바라보며 얘기하는 장면,10CM - 고장난걸까
video_frames/0/frame_015.jpg,김지원 이 검은 머리를 찰랑거리며 김수현을 바라보며 얘기하는 장면,10CM - 고장난걸까
video_frames/0/frame_016.jpg,김수현 이 수트와 타이를 매고 김지원을 바라보는 장면,10CM - 고장난걸까
video_frames/0/frame_017.jpg,김수현 이 수트와 타이를 매고 김지원을 바라보는 장면,10CM - 고장난걸까
video_frames/0/frame_018.jpg,김수현과 김지원 크리스마스 트리 앞에서 김수현이 신경쓰인다고 고백하는 장면,10CM - 고장난걸까
video_frames/0/frame_019.jpg,김수현과 김지원 크리스마스 트리 앞에서 김수현이 신경쓰인다고 고백하는 장면,10CM - 고장난걸까
video_frames/0/frame_020.jpg,김수현과 김지원 크리스마스 트리 앞에서 김수현이 신경쓰인다고 고백하는 장면,10CM - 고장난걸까
video_frames/0/frame_021.jpg,김수현과 김지원 크리스마스 트리 앞에서 김수현이 신경쓰인다고 고백하는 장면,10CM - 고장난걸까
video_frames/1/frame_000.jpg,카메라가 천장을 바라보는 장면,김나영 - 일기
video_frames/1/frame_001.jpg,카메라가 천장을 바라보는 장면,김나영 - 일기
video_frames/1/frame_002.jpg,김수현 이 침대에 누워있는 장면,김나영 - 일기
video_frames/1/frame_003.jpg,김수현 이 침대에 누워있는 장면,김나영 - 일기
video_frames/1/frame_004.jpg,김수현 이 침대에 누워있는 장면,김나영 - 일기
video_frames/1/frame_005.jpg,김수현 이 침대에 누워있는 장면,김나영 - 일기
video_frames/1/frame_006.jpg,김수현 이 침대에 누워있는 장면,김나영 - 일기
video_frames/1/frame_007.jpg,김수현 이 침대에 누워있는 장면,김나영 - 일기
video_frames/1/frame_008.jpg,김수현 이 침대에 누워서 울기 시작하는 장면,김나영 - 일기
video_frames/1/frame_009.jpg,김수현 이 침대에 누워서 울기 시작하는 장면,김나영 - 일기
video_frames/1/frame_010.jpg,김수현 이 침대에 누워서 울기 시작하는 장면,김나영 - 일기
video_frames/1/frame_011.jpg,김수현 이 침대에 누워서 울기 시작하는 장면,김나영 - 일기
video_frames/1/frame_012.jpg,김수현 이 침대에 누워서 울기 시작하는 장면,김나영 - 일기
